#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
-6.0,60,209.774629
-6.0,60,209.975164
-6.0,60,210.164697
-6.0,60,210.340227
-6.0,60,210.831312
-6.0,60,211.026846
-6.0,60,211.217379
-6.0,60,211.415915
-6.0,60,211.611448
-6.0,60,212.098032
5.8,43,212.228555
-6.0,60,212.405086
-6.0,60,212.593119
-6.0,60,213.078202
-6.0,60,213.259733
-6.0,60,213.444766
-6.0,60,213.636799
-6.0,60,214.123884
-6.0,60,214.311416
10.0,1,214.316917
-6.0,60,214.529954
-6.0,60,214.723488
-6.0,60,214.90202
-6.0,60,215.384102
-6.0,60,215.576137
-6.0,60,215.765668
9.6,5,215.781672
-6.0,60,215.968705
-6.0,60,216.471791
-6.0,60,216.653824
-6.0,60,216.841356
-6.0,60,217.031889
-6.0,60,217.506471
-6.0,60,217.685502
-6.0,60,217.858032
-6.0,60,218.031063
-6.0,60,218.532149
8.6,15,218.580158
-6.0,60,218.761188
-6.0,60,218.94322
-6.0,60,219.128252
-6.0,60,219.622338
-6.0,60,219.80437
-6.0,60,219.9804
-6.0,60,220.157431
-6.0,60,220.333461
-6.0,60,220.820045
-6.0,60,220.990576
5.5,46,221.140602
-6.0,60,221.30913
-6.0,60,221.778712
-6.0,60,221.957243
-6.0,60,222.134275
-6.0,60,222.307305
-6.0,60,222.778886
-6.0,60,222.989923
-6.0,60,223.173455
-6.0,60,223.346985
-6.0,60,223.521514
-6.0,60,223.991097
-6.0,60,224.173628
-6.0,60,224.347159
-6.0,60,224.520189
-6.0,60,225.002272
-6.0,60,225.185803
-6.0,60,225.357334
-6.0,60,225.539866
9.9,2,225.547367
-6.0,60,226.021949
-6.0,60,226.19598
-6.9,60,226.36801
-6.0,60,226.539539
-6.0,60,227.00262
-6.9,60,227.208155
-6.0,60,227.41119
-6.0,60,227.601223
-6.0,60,227.788255
-6.0,60,228.292842
-6.0,60,228.481375
-6.0,60,228.670408
-6.0,60,228.859441
-6.0,60,229.353027
-6.0,60,229.550061
9.9,2,229.560063
-6.0,60,229.740095
-6.0,60,229.928627
-6.0,60,230.429714
-6.0,60,230.632249
-6.0,60,230.828784
-6.0,60,231.018316
-6.0,60,231.234853
-6.0,60,231.751443
-6.0,60,231.942476
-6.0,60,232.157014
-6.0,60,232.359048
-6.0,60,232.862136
-6.0,60,233.05517
4.7,54,233.2277
-6.0,60,233.411231
-6.0,60,233.902817
-6.0,60,234.09585
-6.0,60,234.283383
-6.0,60,234.467915
-6.0,60,234.949998
-6.0,60,235.149533
-6.0,60,235.335066
-6.0,60,235.513096
-6.0,60,235.701629
-6.0,60,236.182713
-6.0,60,236.363244
-6.0,60,236.552776
-6.0,60,236.744309
-6.0,60,237.230719
-6.0,60,237.41275
-6.0,60,237.58628
-6.0,60,237.777814
-6.0,60,238.254897
-6.0,60,238.471435
-6.0,60,238.67647
-6.0,60,238.866503
9.5,6,238.885006
-6.0,60,239.36959
-6.0,60,239.538619
-6.0,60,239.71565
9.2,9,239.742655
-6.0,60,239.938189
-6.0,60,240.110218
-6.0,60,240.592802
-6.0,60,240.766833
-6.0,60,240.935362
-6.0,60,241.114893
-6.0,60,241.595976
-6.0,60,241.767506
-6.0,60,241.935536
-6.0,60,242.112566
-6.0,60,242.585648
-6.0,60,242.761178
-6.0,60,242.933709
-6.0,60,243.104238
-6.0,60,243.57232
-6.0,60,243.755851
-6.0,60,243.925881
-6.0,60,244.09491
-6.0,60,244.280442
-6.0,60,244.764027
-6.0,60,244.938557
-6.0,60,245.112587
-6.0,60,245.296619
-6.0,60,245.769701
-6.0,60,245.942231
-6.9,60,246.114761
-6.0,60,246.28329
-6.0,60,246.750371
-6.0,60,246.923401
-6.0,60,247.098432
-6.0,60,247.270461
-6.0,60,247.740542
-6.0,60,247.934076
-6.0,60,248.139112
-6.0,60,248.372653
-6.0,60,248.571687
-6.0,60,249.081776
-6.0,60,249.285311
-6.0,60,249.484846
-6.0,60,249.669378
-6.0,60,250.166964
-6.0,60,250.364998
-6.0,60,250.539529
-6.0,60,250.734062
-6.0,60,251.23615
-6.0,60,251.419181
-6.0,60,251.611215
8.1,11,251.64422
-6.0,60,251.829752
-6.0,60,252.357344
-6.0,60,252.551378
-6.0,60,252.73791
-6.0,60,252.937445
-6.0,60,253.123477
-6.0,60,253.612562
-6.0,60,253.789093
-6.0,60,253.981126
-6.0,60,254.17866
-6.0,60,254.664745
-6.0,60,254.843276
-6.0,60,255.027808
-6.0,60,255.206339
-6.0,60,255.694923
-6.0,60,255.871454
-6.0,60,256.056986
-6.0,60,256.25702
-6.0,60,256.745606
-7.8,60,256.935639
-6.0,60,257.150676
-6.0,60,257.325706
-6.0,60,257.507238
-6.0,60,258.003324
-6.0,60,258.190856
-6.0,60,258.375889
-6.0,60,258.55492
-6.0,60,259.023501
-6.0,60,259.200532
-6.0,60,259.374562
-6.0,60,259.547592
-6.0,60,260.018175
-6.0,60,260.205206
-6.0,60,260.378736
-6.0,60,260.552767
-6.0,60,261.014347
-6.0,60,261.190377
-6.0,60,261.357906
-6.0,60,261.526435
5.0,51,261.673961
-6.0,60,262.146543
-6.9,60,262.317073
-6.0,60,262.500604
-6.0,60,262.671634
-6.0,60,263.138715
-6.0,60,263.308245
-6.9,60,263.482275
-6.0,60,263.662806
-6.0,60,264.128887
-6.0,60,264.303417
-6.0,60,264.477948
-6.0,60,264.651478
9.6,5,264.66748
-6.0,60,264.83651
-6.0,60,265.325095
-6.0,60,265.495625
9.5,6,265.516628
-6.0,60,265.691658
-6.0,60,265.865188
9.8,3,265.87569
-6.0,60,266.33777
-6.0,60,266.517302
-6.0,60,266.690332
-6.9,60,266.857861
-6.9,60,267.322942
-6.9,60,267.494471
-6.0,60,267.665501
-6.0,60,267.841031
-6.0,60,268.329116
-6.0,60,268.522651
5.4,47,268.676677
9.1,10,268.705181
-6.0,60,268.886713
-6.9,60,269.365796
-6.0,60,269.56183
-6.0,60,269.751363
-6.0,60,269.941896
-6.0,60,270.13943
-6.0,60,270.650019
-6.0,60,270.839552
-6.0,60,271.025584
-6.0,60,271.220118
-6.0,60,271.720705
-6.0,60,271.904737
-6.0,60,272.112273
-6.0,60,272.308307
-6.0,60,272.813894
-6.0,60,273.014929
-6.0,60,273.200962
5.4,47,273.359489
-6.0,60,273.54052
-6.0,60,274.053609
-6.0,60,274.236141
-6.0,60,274.416672
